cylinders,displ,hwy,make,year
4,2,25,Alfa Romeo,1985
12,4.9,14,Ferrari,1985
4,2.2,33,Dodge,1985
8,5.2,12,Dodge,1985
4,2.2,23,Subaru,1993
4,1.8,24,Subaru,1993
4,1.8,29,Subaru,1993
4,1.6,26,Toyota,1993
4,1.6,31,Toyota,1993
4,1.8,30,Toyota,1993
4,1.8,30,Toyota,1993
4,2,26,Volkswagen,1993
4,2,29,Volkswagen,1993
4,2,26,Volkswagen,1993
8,5.2,15,Dodge,1985
4,2,28,Volkswagen,1993
4,2.3,23,Volvo,1993
4,2.3,26,Volvo,1993
6,2.8,22,Audi,1993
6,2.8,24,Audi,1993
8,4,20,BMW,1993
8,4,20,BMW,1993
12,5,17,BMW,1993
4,2.2,28,Buick,1993
6,3.3,24,Buick,1993
8,5.2,17,Dodge,1985
6,3.3,26,Buick,1993
6,3.1,25,Buick,1993
6,3.1,27,Buick,1993
6,3.8,26,Buick,1993
6,3.8,25,Buick,1993
8,4.6,23,Cadillac,1993
8,4.9,23,Cadillac,1993
8,4.6,23,Cadillac,1993
8,4.9,23,Cadillac,1993
4,2.2,26,Chevrolet,1993
8,5.2,17,Dodge,1985
6,3.1,25,Chevrolet,1993
6,3.1,27,Chevrolet,1993
6,3.4,24,Chevrolet,1993
6,3.4,24,Chevrolet,1993
6,3.3,24,Chrysler,1993
6,3,19,CX Automotive,1993
6,3,19,CX Automotive,1993
6,3,23,Nissan,1993
6,3,24,Nissan,1993
6,3,24,Nissan,1993
8,5.9,11,Dodge,1985
4,2.5,24,Dodge,1993
6,3,26,Dodge,1993
6,3.3,24,Dodge,1993
4,2.5,24,Dodge,1993
4,2.5,26,Dodge,1993
4,2.5,29,Dodge,1993
6,3,24,Dodge,1993
6,3,26,Dodge,1993
6,3,27,Ford,1993
6,3,24,Ford,1993
8,5.2,11,Dodge,1985
6,3.8,25,Ford,1993
6,3.8,24,Ford,1993
6,3.8,21,Ford,1993
6,3.8,22,Ford,1993
8,5,22,Ford,1993
4,2,25,Hyundai,1993
4,2,24,Hyundai,1993
6,3,22,Hyundai,1993
8,4.5,20,Infiniti,1993
8,4.5,18,Infiniti,1993
8,5.2,11,Dodge,1985
8,4,22,Lexus,1993
6,3.8,24,Mercury,1993
8,5,22,Mercury,1993
6,3,27,Mercury,1993
6,3.8,25,Mercury,1993
4,2,28,Mazda,1993
4,2,31,Mazda,1993
6,2.5,23,Mazda,1993
6,2.5,24,Mazda,1993
6,3,22,Mazda,1993
8,5.9,10,Dodge,1985
4,2.2,28,Oldsmobile,1993
6,3.3,24,Oldsmobile,1993
6,3.3,26,Oldsmobile,1993
6,3.1,25,Oldsmobile,1993
6,3.1,27,Oldsmobile,1993
6,3.4,24,Oldsmobile,1993
6,3.4,24,Oldsmobile,1993
6,3.8,25,Oldsmobile,1993
4,2.5,24,Plymouth,1993
4,2.5,26,Plymouth,1993
6,4.9,15,Ford,1985
4,2.5,29,Plymouth,1993
6,3,24,Plymouth,1993
6,3,26,Plymouth,1993
6,3.1,25,Pontiac,1993
6,3.1,27,Pontiac,1993
6,3.4,24,Pontiac,1993
6,3.4,24,Pontiac,1993
8,6.8,13,Rolls-Royce,1993
8,6.8,15,Rolls-Royce,1993
8,6.8,13,Rolls-Royce,1993
6,4.9,17,Ford,1985
4,2.2,26,Toyota,1993
4,2.2,27,Toyota,1993
6,3,22,Toyota,1993
6,3,22,Toyota,1993
4,2,26,Volkswagen,1993
4,2,28,Volkswagen,1993
6,2.8,22,Volkswagen,1993
6,2.8,25,Volkswagen,1993
5,2.4,26,Volvo,1993
5,2.4,27,Volvo,1993
4,2.2,27,Dodge,1985
6,4.9,17,Ford,1985
4,2.3,22,Volvo,1993
4,2.3,25,Volvo,1993
6,2.9,23,Volvo,1993
6,3.8,26,Buick,1993
6,3.8,25,Buick,1993
6,3.8,25,Buick,1993
8,5.7,23,Buick,1993
8,4.9,23,Cadillac,1993
8,5.7,23,Cadillac,1993
6,4.3,24,Chevrolet,1993
8,5,14,Ford,1985
8,5,24,Chevrolet,1993
8,5.7,23,Chevrolet,1993
6,3.3,26,Chrysler,1993
6,3.5,24,Chrysler,1993
6,3.3,24,Chrysler,1993
6,3.8,24,Chrysler,1993
6,3.3,26,Dodge,1993
6,3.5,24,Dodge,1993
6,3.3,26,Eagle,1993
6,3.5,24,Eagle,1993
8,5.8,12,Ford,1985
8,4.6,24,Ford,1993
6,3.8,24,Lincoln,1993
8,4.6,24,Mercury,1993
8,4.6,24,Lincoln,1993
6,3.5,22,Mercedes-Benz,1993
6,3.2,18,Mercedes-Benz,1993
8,4.2,17,Mercedes-Benz,1993
8,5,16,Mercedes-Benz,1993
6,3.8,26,Oldsmobile,1993
6,3.8,25,Oldsmobile,1993
6,4.3,16,GMC,1985
6,3.8,25,Oldsmobile,1993
6,3.8,23,Pontiac,1993
6,3.8,26,Pontiac,1993
8,6.8,13,Rolls-Royce,1993
4,2.3,23,Saab,1993
4,2.3,22,Saab,1993
4,2.3,24,Saab,1993
4,2.3,25,Saab,1993
6,2.8,20,Audi,1993
6,2.5,23,BMW,1993
6,4.3,17,GMC,1985
4,2.2,28,Chevrolet,1993
6,3.1,26,Chevrolet,1993
6,3,19,CX Automotive,1993
4,1.9,30,Ford,1993
4,1.9,33,Ford,1993
4,2.2,24,Honda,1993
4,2.2,26,Honda,1993
4,1.9,30,Mercury,1993
4,1.9,33,Mercury,1993
4,1.9,32,Saturn,1993
6,4.3,17,GMC,1985
4,1.9,30,Saturn,1993
4,1.9,33,Saturn,1993
4,1.9,32,Saturn,1993
4,2.2,26,Subaru,1993
4,2.2,28,Subaru,1993
4,2.2,24,Subaru,1993
