Churn,HappInd,SupportCases,AvgSupPriority,Logins,Views
1,40,9,0,72,1
1,26,5,3,98,36
1,24,4,3,29,378
1,31,4,0,94,-1
1,73,4,3,68,0
1,20,3,3,65,-521
1,27,3,3,1,144
1,40,3,3,496,6
1,-39,2,0,-22,0
1,-7,2,2,54,82
1,-1,2,3,-45,17
1,1,2,3,24,-214
1,10,2,3,9,-2554
1,11,2,3,65,16
1,23,2,3,62,0
1,53,2,3,13,0
1,-22,1,3,1,0
1,-17,1,0,29,120
1,-11,1,3,6,15
1,-9,1,3,-1,13
1,-6,1,0,-1,-333
1,-5,1,3,5,344
1,-5,1,0,-1,1
1,-4,1,3,30,-7192
1,-2,1,2,82,-248
1,0,1,3,-7,-87
1,0,1,3,23,0
1,0,1,3,57,5664
1,1,1,3,10,0
1,2,1,3,6,0
1,9,1,3,2,-64
1,10,1,2,5,16
1,15,1,3,26,-298
1,16,1,3,11,143
1,18,1,3,14,-29
1,22,1,3,14,-3045
1,33,1,3,2,0
1,57,1,3,56,0
1,-105,0,0,-50,44
1,-86,0,0,-18,0
1,-73,0,0,-4,0
1,-72,0,0,-6,533
1,-71,0,0,1,1209
1,-66,0,0,11,23
1,-64,0,0,-7,-19
1,-62,0,0,10,-2
1,-56,0,0,-6,-58
1,-53,0,0,-8,86
1,-52,0,0,-1,20
1,-49,0,0,-10,-44
1,-46,0,0,-22,61
1,-45,0,0,-15,-961
1,-44,0,0,-1,-1
1,-43,0,0,-22,0
1,-42,0,0,3,4
1,-41,0,0,-2,-675
1,-39,0,0,-12,39
1,-39,0,0,-2,9
1,-39,0,0,0,-42
1,-36,0,0,-14,-3
1,-36,0,0,-5,-142
1,-36,0,0,-4,-148
1,-36,0,0,-4,7
1,-35,0,0,-16,1
1,-34,0,0,-9,0
1,-33,0,0,48,10
1,-31,0,0,-10,243
1,-31,0,0,-1,-264
1,-31,0,0,-1,-38
1,-30,0,0,12,-391
1,-29,0,0,-1,0
1,-28,0,0,-2,2
1,-27,0,0,-2,157
1,-27,0,0,0,-4
1,-27,0,0,12,-1
1,-27,0,0,33,712
1,-26,0,0,-20,-116
1,-26,0,0,-7,0
1,-26,0,0,-2,5
1,-26,0,0,0,-180
1,-25,0,0,-6,13
1,-25,0,0,-4,0
1,-25,0,0,-3,847
1,-25,0,0,-1,0
1,-25,0,0,0,-67
1,-25,0,0,0,18
1,-25,0,0,4,-620
1,-24,0,0,-4,7
1,-23,0,0,-2,-3
1,-22,0,0,0,0
1,-20,0,0,-10,8
1,-20,0,0,4,107
1,-18,0,0,2,-31
1,-18,0,0,57,170
1,-17,0,0,42,0
1,-16,0,0,-4,12
1,-16,0,0,7,33
1,-16,0,0,9,297
1,-15,0,0,6,-16
1,-14,0,0,-7,12
1,-14,0,0,-6,-66
1,-14,0,0,5,512
1,-13,0,0,-76,63
1,-13,0,0,0,16
1,-12,0,1,-15,-276
1,-12,0,0,-8,1
1,-12,0,0,-5,1950
1,-12,0,0,-2,-1
1,-12,0,0,-1,0
1,-12,0,0,2,28
1,-12,0,0,11,31
1,-11,0,0,98,110
1,-11,0,-1,-2,0
1,-10,0,0,-28,102
-1,-10,0,0,-10,8
-1,-10,0,0,-10,71
-1,-10,0,0,-8,0
-1,-10,0,0,-8,23
-1,-10,0,0,-7,-35
-1,-10,0,0,-6,-22
-1,-10,0,0,-6,71
-1,-10,0,0,-4,0
-1,-10,0,0,-4,2
-1,-10,0,0,-3,-5
-1,-10,0,0,-2,-6
-1,-10,0,0,-2,350
-1,-10,0,0,-1,0
-1,-10,0,0,-1,0
-1,-10,0,0,-1,0
-1,-10,0,0,-1,1
-1,-10,0,0,-1,5
-1,-10,0,0,0,-11
-1,-10,0,0,0,-9
-1,-10,0,0,0,1
-1,-10,0,0,0,2
-1,-10,0,0,1,0
-1,-10,0,0,1,39
-1,-10,0,0,1,131
-1,-10,0,0,2,8
-1,-10,0,0,4,-13
-1,-10,0,0,4,8
-1,-10,0,0,6,2
-1,-10,0,0,8,1426
-1,-10,0,0,9,-11
1,-10,0,0,12,-1
-1,-10,0,0,13,-43
-1,-10,0,0,15,12
-1,-10,0,0,16,0
-1,-10,0,0,18,53
-1,-10,0,0,26,187
-1,-10,0,0,40,-35
-1,-10,0,0,43,-33
-1,-9,0,0,-9,40
-1,-9,0,0,-4,-21
-1,-9,0,0,-3,0
-1,-9,0,0,-2,0
-1,-9,0,0,-1,0
1,-9,0,0,0,-11
-1,-9,0,0,3,1229
-1,-9,0,0,6,66
-1,-9,0,0,7,6
-1,-9,0,0,13,90
-1,-9,0,0,21,-31
-1,-9,0,0,23,138
-1,-9,0,0,29,650
-1,-9,0,0,31,758
-1,-8,0,1,3,201
1,-8,0,0,-22,-25
-1,-8,0,0,-5,0
-1,-8,0,0,-4,24
-1,-8,0,0,-1,704
-1,-8,0,0,0,-46
-1,-8,0,0,0,-1
-1,-8,0,0,0,0
1,-8,0,0,0,6
-1,-8,0,0,1,20
-1,-8,0,0,3,15
-1,-8,0,0,3,1077
-1,-8,0,0,7,1445
-1,-8,0,0,12,1580
-1,-8,0,0,60,145
-1,-7,0,0,-10,0
-1,-7,0,0,-10,54
-1,-7,0,0,-2,0
-1,-7,0,0,-2,7
1,-7,0,0,-2,8
1,-7,0,0,0,0
1,-7,0,0,0,0
-1,-7,0,0,12,-4
-1,-7,0,0,20,46
-1,-7,0,0,42,127
-1,-7,0,0,47,349
-1,-7,0,0,76,143
-1,-7,0,0,212,14
-1,-6,0,0,-10,0
-1,-6,0,0,-8,-23
-1,-6,0,0,-8,43
-1,-6,0,0,-7,28
1,-6,0,0,-6,-2
-1,-6,0,0,-6,-1
-1,-6,0,0,-6,0
-1,-6,0,0,-4,0
-1,-6,0,0,-3,26
-1,-6,0,0,-1,127
-1,-6,0,0,0,20
-1,-6,0,0,4,0
-1,-6,0,0,5,1
-1,-6,0,0,6,-1
-1,-6,0,0,8,2
-1,-6,0,0,8,67
-1,-6,0,0,9,9
-1,-6,0,0,10,45
-1,-6,0,0,13,321
-1,-6,0,0,24,-18
-1,-6,0,0,25,1846
-1,-6,0,0,29,0
-1,-6,0,0,34,1510
-1,-6,0,0,69,99
-1,-5,0,0,-7,48
-1,-5,0,0,-5,0
-1,-5,0,0,-5,5483
-1,-5,0,0,-4,39
1,-5,0,0,-2,117
-1,-5,0,0,0,-41
-1,-5,0,0,0,-2
-1,-5,0,0,1,0
-1,-5,0,0,1,0
-1,-5,0,0,1,669
-1,-5,0,0,1,1860
-1,-5,0,0,2,-1
-1,-5,0,0,2,8
-1,-5,0,0,4,-20
-1,-5,0,0,4,-10
-1,-5,0,0,5,50
-1,-5,0,0,5,64
-1,-5,0,0,7,0
-1,-5,0,0,8,2589
-1,-5,0,0,13,1052
-1,-5,0,0,16,-6
-1,-5,0,0,21,-39
-1,-5,0,0,23,-3
-1,-5,0,0,25,-40
-1,-5,0,0,25,7
-1,-5,0,0,29,-38
-1,-5,0,0,92,-40
-1,-4,0,1,13,13
1,-4,0,1,22,912
-1,-4,0,0,-8,-12
-1,-4,0,0,-8,0
-1,-4,0,0,-7,-10
-1,-4,0,0,-4,0
-1,-4,0,0,-4,0
-1,-4,0,0,-4,4
-1,-4,0,0,-4,22
-1,-4,0,0,-3,1328
-1,-4,0,0,-2,-18
-1,-4,0,0,-1,-3
-1,-4,0,0,-1,13
-1,-4,0,0,-1,1060
-1,-4,0,0,0,-14
1,-4,0,0,0,-2
-1,-4,0,0,0,0
-1,-4,0,0,4,23
-1,-4,0,0,4,951
-1,-4,0,0,5,1
-1,-4,0,0,5,209
-1,-4,0,0,6,0
-1,-4,0,0,6,3597
-1,-4,0,0,12,0
-1,-4,0,0,13,-3
-1,-4,0,0,13,1
1,-4,0,0,14,21
-1,-4,0,0,16,15
-1,-4,0,0,21,28
-1,-4,0,0,21,166
-1,-4,0,0,22,32
-1,-4,0,0,24,0
-1,-4,0,0,32,-10
-1,-4,0,0,34,149
-1,-4,0,0,48,-13
-1,-4,0,0,100,62
-1,-3,0,0,-9,-23
-1,-3,0,0,-7,0
-1,-3,0,0,-5,-14
-1,-3,0,0,-4,52
-1,-3,0,0,-3,-4
-1,-3,0,0,-3,0
-1,-3,0,0,-3,31
-1,-3,0,0,-2,-11
-1,-3,0,0,-2,0
-1,-3,0,0,-2,0
-1,-3,0,0,-2,234
-1,-3,0,0,-1,12
-1,-3,0,0,0,0
-1,-3,0,0,0,0
1,-3,0,0,0,0
-1,-3,0,0,0,1
-1,-3,0,0,0,21
-1,-3,0,0,2,-13
-1,-3,0,0,2,463
-1,-3,0,0,3,-5
-1,-3,0,0,5,-15
-1,-3,0,0,5,11
-1,-3,0,0,6,-32
-1,-3,0,0,6,100
-1,-3,0,0,7,-21
-1,-3,0,0,7,-14
-1,-3,0,0,8,-24
-1,-3,0,0,11,28
-1,-3,0,0,17,-18
-1,-3,0,0,20,0
-1,-3,0,0,21,0
-1,-3,0,0,51,55
-1,-3,0,0,52,-13
-1,-3,0,0,57,64
-1,-3,0,0,92,982
-1,-2,0,1,66,453
-1,-2,0,0,-9,28
-1,-2,0,0,-9,60
1,-2,0,0,-7,1
-1,-2,0,0,-5,265
-1,-2,0,0,-4,-16
-1,-2,0,0,-4,8
-1,-2,0,0,-3,0
-1,-2,0,0,-3,716
1,-2,0,0,-2,-62
-1,-2,0,0,-2,5
-1,-2,0,0,-1,23
-1,-2,0,0,0,-36
-1,-2,0,0,0,-25
-1,-2,0,0,0,-22
-1,-2,0,0,0,0
-1,-2,0,0,0,0
-1,-2,0,0,0,8
-1,-2,0,0,0,21
-1,-2,0,0,0,106
1,-2,0,0,0,155
-1,-2,0,0,1,-1
-1,-2,0,0,1,7
-1,-2,0,0,1,13
-1,-2,0,0,2,489
-1,-2,0,0,3,-5
-1,-2,0,0,3,1
-1,-2,0,0,3,62
-1,-2,0,0,3,115
-1,-2,0,0,3,785
-1,-2,0,0,4,-1
-1,-2,0,0,4,0
-1,-2,0,0,4,5
-1,-2,0,0,4,18
-1,-2,0,0,5,-49
-1,-2,0,0,5,214
-1,-2,0,0,8,0
-1,-2,0,0,10,125
-1,-2,0,0,11,-18
-1,-2,0,0,11,18
-1,-2,0,0,13,0
-1,-2,0,0,13,0
-1,-2,0,0,18,156
-1,-2,0,0,20,0
-1,-2,0,0,20,50
-1,-2,0,0,20,1544
-1,-2,0,0,22,366
-1,-2,0,0,23,-38
-1,-2,0,0,23,0
-1,-2,0,0,25,-26
-1,-2,0,0,28,-18
-1,-2,0,0,32,0
1,-2,0,0,35,35
-1,-2,0,0,55,136
-1,-2,0,0,77,67
-1,-2,0,0,104,0
-1,-2,0,0,166,315
-1,-1,0,1,8,493
-1,-1,0,0,-10,64
-1,-1,0,0,-8,71
-1,-1,0,0,-6,22
-1,-1,0,0,-6,311
-1,-1,0,0,-5,-25
-1,-1,0,0,-5,138
1,-1,0,0,-4,-71
-1,-1,0,0,-4,-16
-1,-1,0,0,-4,-10
-1,-1,0,0,-4,-7
-1,-1,0,0,-4,449
-1,-1,0,0,-3,-17
-1,-1,0,0,-3,0
1,-1,0,0,-2,-15
-1,-1,0,0,-2,15
-1,-1,0,0,-2,39
-1,-1,0,0,-1,-5
-1,-1,0,0,-1,5
-1,-1,0,0,-1,56
-1,-1,0,0,-1,1647
-1,-1,0,0,0,-34
-1,-1,0,0,0,-33
-1,-1,0,0,0,-14
-1,-1,0,0,0,-13
-1,-1,0,0,0,-11
-1,-1,0,0,0,-11
-1,-1,0,0,0,-11
-1,-1,0,0,0,-4
-1,-1,0,0,0,-2
-1,-1,0,0,0,0
-1,-1,0,0,0,0
-1,-1,0,0,0,0
-1,-1,0,0,0,0
-1,-1,0,0,0,9
-1,-1,0,0,0,11
1,-1,0,0,0,44
-1,-1,0,0,0,72
-1,-1,0,0,0,275
1,-1,0,0,1,-3
-1,-1,0,0,1,0
-1,-1,0,0,1,0
-1,-1,0,0,1,0
-1,-1,0,0,1,0
-1,-1,0,0,1,49
-1,-1,0,0,1,75
-1,-1,0,0,1,105
-1,-1,0,0,2,-45
-1,-1,0,0,2,-36
-1,-1,0,0,2,-2
-1,-1,0,0,2,12
-1,-1,0,0,2,33
-1,-1,0,0,2,49
-1,-1,0,0,2,454
-1,-1,0,0,3,-19
-1,-1,0,0,3,0
-1,-1,0,0,3,42
-1,-1,0,0,3,118
-1,-1,0,0,4,-29
-1,-1,0,0,4,-2
-1,-1,0,0,4,15
-1,-1,0,0,5,-32
-1,-1,0,0,5,24
-1,-1,0,0,5,57
-1,-1,0,0,5,558
1,-1,0,0,6,-1056
-1,-1,0,0,6,-38
-1,-1,0,0,6,33
-1,-1,0,0,7,-5
-1,-1,0,0,7,55
-1,-1,0,0,7,97
-1,-1,0,0,8,1
-1,-1,0,0,10,-5
-1,-1,0,0,10,0
-1,-1,0,0,10,2
-1,-1,0,0,10,1304
-1,-1,0,0,11,0
-1,-1,0,0,12,-28
-1,-1,0,0,13,0
-1,-1,0,0,14,0
-1,-1,0,0,15,-24
-1,-1,0,0,16,390
-1,-1,0,0,17,-3
-1,-1,0,0,17,32
-1,-1,0,0,18,-13
-1,-1,0,0,18,-1
-1,-1,0,0,18,0
-1,-1,0,0,19,96
-1,-1,0,0,21,104
-1,-1,0,0,23,-16
-1,-1,0,0,25,-21
-1,-1,0,0,25,-14
1,-1,0,0,26,-61
-1,-1,0,0,28,690
-1,-1,0,0,44,-20
-1,-1,0,0,44,1699
-1,-1,0,0,45,-9
-1,-1,0,0,46,3349
-1,-1,0,0,57,-19
-1,-1,0,0,67,22
-1,-1,0,0,75,494
-1,-1,0,0,79,294
-1,-1,0,0,122,56
1,-1,0,-1,18,5
1,0,0,0,-23,52
-1,0,0,0,-10,24
-1,0,0,0,-10,3852
-1,0,0,0,-9,-1
-1,0,0,0,-9,0
-1,0,0,0,-8,-24
-1,0,0,0,-8,0
-1,0,0,0,-7,-6
-1,0,0,0,-7,0
-1,0,0,0,-7,55
-1,0,0,0,-7,101
-1,0,0,0,-6,-19
-1,0,0,0,-6,0
-1,0,0,0,-6,0
-1,0,0,0,-6,3
-1,0,0,0,-5,-30
-1,0,0,0,-5,-2
-1,0,0,0,-5,0
-1,0,0,0,-5,57
-1,0,0,0,-4,-18
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-4,0
-1,0,0,0,-3,-24
-1,0,0,0,-3,573
-1,0,0,0,-2,-40
-1,0,0,0,-2,-20
-1,0,0,0,-2,-11
-1,0,0,0,-2,0
1,0,0,0,-2,0
-1,0,0,0,-2,2
-1,0,0,0,-2,2
-1,0,0,0,-2,4
-1,0,0,0,-2,137
-1,0,0,0,-1,-44
-1,0,0,0,-1,-36
1,0,0,0,-1,-9
-1,0,0,0,-1,-1
-1,0,0,0,-1,-1
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,0
-1,0,0,0,-1,6
-1,0,0,0,-1,11
1,0,0,0,0,-1846
1,0,0,0,0,-517
-1,0,0,0,0,-49
1,0,0,0,0,-39
-1,0,0,0,0,-38
-1,0,0,0,0,-38
-1,0,0,0,0,-33
-1,0,0,0,0,-26
-1,0,0,0,0,-22
-1,0,0,0,0,-16
-1,0,0,0,0,-15
-1,0,0,0,0,-14
-1,0,0,0,0,-12
1,0,0,0,0,-11
-1,0,0,0,0,-10
-1,0,0,0,0,-9
-1,0,0,0,0,-8
-1,0,0,0,0,-8
-1,0,0,0,0,-8
-1,0,0,0,0,-8
1,0,0,0,0,-8
1,0,0,0,0,-6
-1,0,0,0,0,-5
-1,0,0,0,0,-5
-1,0,0,0,0,-5
-1,0,0,0,0,-5
-1,0,0,0,0,-4
-1,0,0,0,0,-4
-1,0,0,0,0,-4
-1,0,0,0,0,-4
-1,0,0,0,0,-4
-1,0,0,0,0,-3
-1,0,0,0,0,-3
-1,0,0,0,0,-3
-1,0,0,0,0,-3
-1,0,0,0,0,-3
1,0,0,0,0,-3
-1,0,0,0,0,-2
-1,0,0,0,0,-2
-1,0,0,0,0,-2
-1,0,0,0,0,-2
1,0,0,0,0,-2
-1,0,0,0,0,-1
-1,0,0,0,0,-1
-1,0,0,0,0,-1
-1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,0,0,0,0,0
