StudentID,District,Priority
1,Rural,Grades
2,Rural,Grades
2,Rural,Grades
3,Rural,Grades
4,Rural,Grades
5,Rural,Grades
6,Rural,Grades
7,Rural,Grades
8,Rural,Grades
9,Rural,Grades
10,Rural,Grades
11,Rural,Grades
12,Rural,Grades
13,Rural,Grades
14,Rural,Grades
15,Rural,Grades
16,Rural,Grades
17,Rural,Grades
18,Rural,Grades
19,Rural,Grades
20,Rural,Grades
21,Rural,Grades
22,Rural,Grades
23,Rural,Grades
24,Rural,Grades
25,Rural,Grades
26,Rural,Grades
27,Rural,Grades
28,Rural,Grades
29,Rural,Grades
30,Rural,Grades
31,Rural,Grades
32,Rural,Grades
33,Rural,Grades
34,Rural,Grades
35,Rural,Grades
36,Rural,Grades
37,Rural,Grades
38,Rural,Grades
39,Rural,Grades
40,Rural,Grades
41,Rural,Grades
42,Rural,Grades
43,Rural,Grades
44,Rural,Grades
45,Rural,Grades
46,Rural,Grades
47,Rural,Grades
48,Rural,Grades
49,Rural,Grades
50,Rural,Grades
51,Rural,Grades
52,Rural,Grades
53,Rural,Grades
54,Rural,Grades
55,Rural,Grades
56,Rural,Grades
57,Rural,Popular
58,Rural,Popular
59,Rural,Popular
60,Rural,Popular
61,Rural,Popular
62,Rural,Popular
63,Rural,Popular
64,Rural,Popular
65,Rural,Popular
66,Rural,Popular
67,Rural,Popular
68,Rural,Popular
69,Rural,Popular
70,Rural,Popular
71,Rural,Popular
72,Rural,Popular
73,Rural,Popular
74,Rural,Popular
75,Rural,Popular
76,Rural,Popular
77,Rural,Popular
78,Rural,Popular
79,Rural,Popular
80,Rural,Popular
81,Rural,Popular
82,Rural,Popular
83,Rural,Popular
84,Rural,Popular
85,Rural,Popular
86,Rural,Popular
87,Rural,Popular
88,Rural,Popular
89,Rural,Popular
90,Rural,Popular
91,Rural,Popular
92,Rural,Popular
93,Rural,Popular
94,Rural,Popular
95,Rural,Popular
96,Rural,Popular
97,Rural,Popular
98,Rural,Popular
99,Rural,Popular
100,Rural,Popular
101,Rural,Popular
102,Rural,Popular
103,Rural,Popular
104,Rural,Popular
105,Rural,Popular
106,Rural,Popular
107,Rural,Sports
108,Rural,Sports
109,Rural,Sports
110,Rural,Sports
111,Rural,Sports
112,Rural,Sports
113,Rural,Sports
114,Rural,Sports
115,Rural,Sports
116,Rural,Sports
117,Rural,Sports
118,Rural,Sports
119,Rural,Sports
120,Rural,Sports
121,Rural,Sports
122,Rural,Sports
123,Rural,Sports
124,Rural,Sports
125,Rural,Sports
