"infant.mortality","gdp","country"
154,2848,"Afghanistan"
32,863,"Albania"
44,1531,"Algeria"
11,NA,"American.Samoa"
NA,NA,"Andorra"
124,355,"Angola"
24,6966,"Antigua"
22,8055,"Argentina"
25,354,"Armenia"
6,20046,"Australia"
6,29006,"Austria"
33,321,"Azerbaijan"
14,12545,"Bahamas"
18,9073,"Bahrain"
78,280,"Bangladesh"
9,7173,"Barbados"
15,994,"Belarus"
7,26582,"Belgium"
30,2569,"Belize"
84,391,"Benin"
104,166,"Bhutan"
66,909,"Bolivia"
13,271,"Bosnia"
56,3640,"Botswana"
42,4510,"Brazil"
9,16683,"Brunei"
16,1518,"Bulgaria"
97,165,"Burkina.Faso"
114,205,"Burundi"
102,130,"Cambodia"
58,627,"Cameroon"
6,18943,"Canada"
41,994,"Cape.Verde"
96,379,"Central.African.Rep"
115,187,"Chad"
13,4736,"Chile"
38,582,"China"
24,2215,"Colombia"
82,367,"Comoros"
90,1008,"Congo"
26,5432,"Cook.Islands"
12,2696,"Costa.Rica"
10,4014,"Croatia"
9,1983,"Cuba"
7,11459,"Cyprus"
9,4450,"Czech.Republic"
89,117,"Dem.Rep.of.the.Congo"
7,33191,"Denmark"
106,893,"Djibouti"
NA,2831,"Dominica"
34,1508,"Dominican.Republic"
135,NA,"East.Timor"
46,1565,"Ecuador"
54,973,"Egypt"
39,1660,"El.Salvador"
107,388,"Equatorial.Guinea"
98,96,"Eritrea"
12,2433,"Estonia"
107,96,"Ethiopia"
20,2593,"Fiji"
5,24453,"Finland"
7,26444,"France"
22,23530,"French.Guiana"
10,19766,"French.Polynesia"
85,5007,"Gabon"
122,321,"Gambia"
37,NA,"Gaza.Strip"
23,343,"Georgia"
6,29632,"Germany"
73,397,"Ghana"
8,8684,"Greece"
14,2485,"Grenada"
8,9145,"Guadeloupe"
10,NA,"Guam"
40,1392,"Guatemala"
124,442,"Guinea"
132,131,"Guinea.Bissau"
58,726,"Guyana"
82,386,"Haiti"
35,697,"Honduras"
5,22898,"Hong.Kong"
14,4325,"Hungary"
5,26217,"Iceland"
72,365,"India"
48,1019,"Indonesia"
39,1544,"Iran"
95,11308,"Iraq"
6,17419,"Ireland"
7,16738,"Israel"
7,19121,"Italy"
86,736,"Ivory.Coast"
12,1779,"Jamaica"
4,41718,"Japan"
30,1228,"Jordan"
34,995,"Kazakhstan"
65,330,"Kenya"
65,654,"Kiribati"
22,271,"Korea.Dem.Peoples.Rep"
9,9736,"Korea.Republic.of"
14,15757,"Kuwait"
39,331,"Kyrgyzstan"
86,359,"Laos"
16,1764,"Latvia"
29,3114,"Lebanon"
72,486,"Lesotho"
153,1124,"Liberia"
56,5498,"Libya"
NA,42416,"Liechtenstein"
13,1595,"Lithuania"
6,35109,"Luxembourg"
8,NA,"Macau"
23,1660,"Macedonia"
77,215,"Madagascar"
142,142,"Malawi"
11,4313,"Malaysia"
49,1079,"Maldives"
149,223,"Mali"
8,8793,"Malta"
26,1649,"Marshall.Islands"
7,12717,"Martinique"
92,401,"Mauritania"
15,3508,"Mauritius"
31,2700,"Mexico"
20,2104,"Micronesia"
26,383,"Moldova"
NA,26470,"Monaco"
52,388,"Mongolia"
51,1265,"Morocco"
110,77,"Mozambique"
78,2399,"Myanmar"
60,2059,"Namibia"
82,203,"Nepal"
6,25635,"Netherlands"
10,9039,"Netherlands.Antilles"
18,19450,"New.Caledonia"
7,16866,"New.Zealand"
44,464,"Nicaragua"
114,207,"Niger"
77,587,"Nigeria"
2,NA,"Northern.Mariana.Islands"
5,33734,"Norway"
25,6232,"Oman"
74,504,"Pakistan"
25,6417,"Palau"
21,2934,"Panama"
61,1083,"Papua.New.Guinea"
39,1860,"Paraguay"
45,2497,"Peru"
35,1093,"Philippines"
13,3058,"Poland"
8,10428,"Portugal"
9,12213,"Puerto.Rico"
17,14013,"Qatar"
7,11854,"Reunion"
24,1570,"Romania"
19,2451,"Russia"
125,238,"Rwanda"
25,4819,"Saint.Kitts"
18,3183,"Saint.Lucia"
58,1106,"Samoa"
NA,19121,"San.Marino"
51,49,"Sao.Tome"
23,6583,"Saudi.Arabia"
62,572,"Senegal"
12,7272,"Seychelles"
169,293,"Sierra.Leone"
5,25581,"Singapore"
12,3266,"Slovakia"
7,9652,"Slovenia"
23,686,"Solomon.Islands"
112,119,"Somalia"
48,3230,"South.Africa"
7,14111,"Spain"
15,716,"Sri.Lanka"
19,2305,"St.Vincent"
71,36,"Sudan"
24,967,"Suriname"
65,1389,"Swaziland"
5,26253,"Sweden"
5,42416,"Switzerland"
33,3573,"Syria"
56,122,"Tajikistan"
80,139,"Tanzania"
30,2896,"Thailand"
86,322,"Togo"
3,1787,"Tonga"
14,4083,"Trinidad.and.Tobago"
37,2030,"Tunisia"
44,2814,"Turkey"
57,321,"Turkmenistan"
NA,NA,"Tuvalu"
113,305,"Uganda"
18,694,"Ukraine"
15,17690,"United.Arab.Emirates"
6,18913,"United.Kingdom"
7,26037,"United.States"
17,5602,"Uruguay"
43,435,"Uzbekistan"
38,1289,"Vanuatu"
21,3496,"Venezuela"
37,270,"Viet.Nam"
12,NA,"Virgin.Islands"
64,NA,"Western.Sahara"
80,732,"Yemen"
19,1487,"Yugoslavia"
103,382,"Zambia"
68,786,"Zimbabwe"
