"","price","make","body-style","wheel-base","engine-size","horsepower"
"1",16500,"alfa-romero","hatchback",94.5,152,154
"2",16500,"alfa-romero","convertible",88.6,130,111
"3",23875,"audi","sedan",105.8,131,140
"4",13950,"audi","sedan",99.8,109,102
"5",18920,"audi","wagon",105.8,136,110
"6",30760,"bmw","sedan",103.5,209,182
"7",16925,"bmw","sedan",101.2,108,101
"8",20970,"bmw","sedan",101.2,164,121
"9",24565,"bmw","sedan",103.5,164,121
"10",5151,"chevrolet","hatchback",88.4,61,48
"11",6295,"chevrolet","hatchback",94.5,90,70
"12",6377,"dodge","hatchback",93.7,90,68
"13",5572,"dodge","hatchback",93.7,90,68
"14",7957,"dodge","hatchback",93.7,98,102
"15",12964,"dodge","hatchback",95.9,156,145
"16",10295,"honda","sedan",96.5,110,86
"17",12945,"honda","sedan",96.5,110,101
"18",6529,"honda","hatchback",93.7,92,76
"19",10345,"honda","sedan",96.5,110,100
"20",7129,"honda","hatchback",93.7,92,76
"21",7895,"honda","hatchback",96.5,110,86
"22",32250,"jaguar","sedan",113,258,176
"23",35550,"jaguar","sedan",113,258,176
"24",11245,"mazda","hatchback",98.8,122,84
"25",6795,"mazda","hatchback",93.1,91,68
"26",7395,"mazda","sedan",93.1,91,68
"27",6695,"mazda","sedan",93.1,91,68
"28",18344,"mazda","sedan",104.9,134,72
"29",6095,"mazda","hatchback",93.1,91,68
"30",31600,"mercedes-benz","sedan",115.6,183,123
"31",40960,"mercedes-benz","sedan",120.9,308,184
"32",28176,"mercedes-benz","hardtop",106.7,183,123
"33",35056,"mercedes-benz","convertible",96.6,234,155
"34",9279,"mitsubishi","sedan",96.3,110,116
"35",5389,"mitsubishi","hatchback",93.7,92,68
"36",6669,"mitsubishi","hatchback",93.7,92,68
"37",12629,"mitsubishi","hatchback",95.9,156,145
"38",14869,"mitsubishi","hatchback",95.9,156,145
"39",9959,"mitsubishi","hatchback",96.3,110,116
"40",7799,"nissan","hatchback",94.5,97,69
"41",9549,"nissan","sedan",97.2,120,97
"42",13499,"nissan","sedan",100.4,181,152
"43",19699,"nissan","hatchback",91.3,181,200
"44",5499,"nissan","sedan",94.5,97,69
"45",7349,"nissan","wagon",94.5,97,69
"46",7999,"nissan","wagon",94.5,97,69
"47",6649,"nissan","sedan",94.5,97,69
"48",7299,"nissan","sedan",94.5,97,69
"49",16900,"peugot","sedan",107.9,152,95
"50",11900,"peugot","sedan",107.9,120,97
"51",18150,"peugot","sedan",108,134,142
"52",12440,"peugot","wagon",114.2,120,97
"53",16695,"peugot","wagon",114.2,120,95
"54",13860,"peugot","wagon",114.2,152,95
"55",12764,"plymouth","hatchback",95.9,156,145
"56",7957,"plymouth","hatchback",93.7,98,102
"57",8921,"plymouth","wagon",103.3,122,88
"58",6692,"plymouth","sedan",93.7,90,68
"59",22018,"porsche","hatchback",94.5,151,143
"60",34028,"porsche","hardtop",89.5,194,207
"61",15040,"saab","hatchback",99.1,121,110
"62",18620,"saab","sedan",99.1,121,160
"63",12170,"saab","sedan",99.1,121,110
"64",7126,"subaru","sedan",97.2,108,82
"65",9233,"subaru","sedan",97,108,82
"66",8013,"subaru","wagon",96.9,108,82
"67",11694,"subaru","wagon",96.9,108,111
"68",7463,"subaru","wagon",97,108,82
"69",7053,"subaru","hatchback",93.7,108,73
"70",15998,"toyota","hatchback",102.9,171,161
"71",9988,"toyota","hatchback",102.4,122,92
"72",6338,"toyota","hatchback",95.7,92,62
"73",7898,"toyota","sedan",95.7,110,56
"74",15750,"toyota","wagon",104.5,161,156
"75",6918,"toyota","wagon",95.7,92,62
"76",9258,"toyota","sedan",95.7,98,70
"77",11199,"toyota","hardtop",98.4,146,116
"78",8238,"toyota","hatchback",94.5,98,70
"79",7738,"toyota","sedan",95.7,98,70
"80",8778,"toyota","wagon",95.7,92,62
"81",9989,"toyota","hatchback",98.4,146,116
"82",8058,"toyota","sedan",94.5,98,70
"83",7788,"toyota","hatchback",95.7,110,56
"84",8358,"toyota","hatchback",95.7,98,70
"85",5348,"toyota","hatchback",95.7,92,62
"86",7995,"volkswagen","sedan",97.3,97,52
"87",13845,"volkswagen","sedan",100.4,97,68
"88",9495,"volkswagen","sedan",97.3,97,68
"89",13295,"volkswagen","sedan",100.4,136,110
"90",8495,"volkswagen","sedan",97.3,109,85
"91",9995,"volkswagen","sedan",97.3,109,100
"92",19045,"volvo","sedan",109.1,141,160
"93",22625,"volvo","sedan",109.1,141,114
"94",15985,"volvo","sedan",104.3,141,114
"95",18950,"volvo","wagon",104.3,130,162
"96",13415,"volvo","wagon",104.3,141,114
"97",16515,"volvo","wagon",104.3,141,114
